time,gInt,aInt,gx,gy,gz,ax,ay,az
248196531,4997,4997,0.0054240697,0.0105086733,0.0007328634,0.0523747168,-0.0111109307,-9.8055648804
248199803,4996,4996,0.0042581609,0.0030248272,-0.0011320483,0.1186923534,0.0003234289,-9.8084583282
248206475,4994,4994,0.0035918884,0.0049327984,-0.0019043672,0.079483889,0.0623955093,-9.7907838821
248216141,4996,4996,0.0081171421,0.005494392,0.0007898227,0.1240179911,0.0401636586,-9.7772436142
248216692,4997,4997,0.0002654963,0.000482634,-0.0016613032,0.0854313597,0.1028422639,-9.7729988098
248224846,4994,4994,0.0075929961,0.0120886145,0.0004836877,0.0666784197,0.0897977725,-9.7830696106
248225459,4993,4993,0.0023711768,-0.004433637,-0.0022054596,0.0132341981,0.0537041053,-9.7882013321
248226712,4997,4997,0.0029516956,0.0157299936,0.0005740482,0.0098320935,0.0673399419,-9.8208637238
248235966,4998,4998,0.0042539202,-0.0019251441,-0.0006423048,-0.0222638138,0.0072756768,-9.7657709122
248244983,5005,5005,0.0038657268,0.0080642961,0.0008203048,-0.0529714301,0.0078727109,-9.7677097321
248245963,4985,4985,0.0060169026,0.005647169,0.0004594793,-0.0293722488,-0.028863389,-9.7782087326
248255396,4993,4993,0.001198346,0.0001462821,-0.0004037155,-0.0117588686,-0.0395366587,-9.7789535522
248256784,4999,4999,0.0052740723,0.0090310723,0.002270865,-0.0476704687,-0.0619295798,-9.8371238708
248264655,4993,4993,0.0041660937,-0.001318279,-0.0014204135,0.0228537563,-0.0713250935,-9.7556638718
248266127,4995,4995,0.0052302792,0.009708887,0.0019987328,0.0344964936,-0.0261511542,-9.7717533112
248276474,5004,5004,0.0071967803,-0.0046741064,-0.0016966556,0.0745979026,0.0068532666,-9.785949707
248277855,4986,4986,0.0025750382,0.0109925428,0.0009555304,0.0847994015,0.0124329422,-9.8189764023
248285159,4994,4994,0.0072071501,0.0010793268,-0.0010301864,0.1212933213,0.0595767424,-9.7920732498
248286729,4997,4997,0.0061502759,0.0035751241,-0.0010390993,0.0859835446,0.0543614477,-9.8030633926
248296646,4996,4996,0.0065105641,0.0074080434,0.0007089922,0.1279351413,0.0471729301,-9.7541837692
248297761,4994,4994,0.0012643859,-0.0001083031,-0.0021202739,0.0560784228,0.1298411638,-9.777264595
248305272,4996,4996,0.0076660719,0.009320044,0.0026345109,0.0705548227,0.0546683893,-9.7886257172
248306083,5002,5002,0.0029614063,-0.0010891714,-0.0003269872,-0.0231361333,0.090481028,-9.8240652084
248315052,4988,4988,0.0025192432,0.0106323361,0.0017168862,0.0176430866,0.0302234609,-9.7495632172
248315776,4997,4997,0.0059416634,-0.00175282,-0.0004877314,-0.0639899746,0.0326056667,-9.7613639832
248326064,4995,4995,0.0028421024,0.0068715867,-0.0004783953,-0.0289956816,-0.0468318798,-9.8133096695
248337345,4995,4995,0.004825383,0.0046280571,0.0014402012,-0.0322027914,-0.0205582511,-9.7412214279
248336647,4995,4995,0.0027186039,-2.11557e-05,-0.0024222403,-0.0162264481,-0.0613729842,-9.7982273102
248338453,4999,4999,0.006651191,0.0121017452,0.001639739,-0.0103039732,-0.0292038023,-9.8015851974
248354422,4990,4990,0.0039873379,-0.0030339675,-0.0018546948,0.0237377584,-0.080400221,-9.7724819183
248356081,5005,5005,0.0054874271,0.0084352735,0.0005295639,0.0734419227,0.0078820689,-9.7711658478
248356297,4988,4988,0.0071819047,-0.0015883244,-0.0006498544,0.073786661,-0.0388297662,-9.8036851883
248357381,4996,4996,0.0011461212,0.0094064632,-0.0008677244,0.1160383597,0.0512684174,-9.7906799316
248365741,4994,4994,0.0096519794,0.0030706758,-0.0003978594,0.087271452,0.0587678626,-9.8031263351
248367278,4996,4996,0.0032310321,0.0017980419,-0.0016374713,0.124774076,0.070996426,-9.7675333023
